COGNOME;COMUNE;descrizione_carica
ZANDA;SAN MARTINO SICCOMARIO;Assessore
ZUCCA;SANNAZZARO DE' BURGONDI;Sindaco
BELLINI;SANNAZZARO DE' BURGONDI;Vicesindaco
FUGGINI;SANNAZZARO DE' BURGONDI;Assessore
LEONI;SANNAZZARO DE' BURGONDI;Assessore
RABUFFI;SANNAZZARO DE' BURGONDI;Assessore
GROSSI;SANTA CRISTINA E BISSONE;Sindaco
AMBROSETTI;SANTA CRISTINA E BISSONE;Vicesindaco
CASSINARI;SANTA CRISTINA E BISSONE;Assessore
DACARRO;SANTA GIULETTA;Sindaco
CASELLA;SANTA GIULETTA;Vicesindaco
DELLAVALLE;SANTA GIULETTA;Assessore
CARTANI';SANT'ALESSIO CON VIALONE;Sindaco
RUSMINI;SANT'ALESSIO CON VIALONE;Vicesindaco
GALLOTTI;SANT'ALESSIO CON VIALONE;Assessore
GANDOLFI;SANTA MARGHERITA DI STAFFORA;Sindaco
ALBERTAZZI;SANTA MARGHERITA DI STAFFORA;Vicesindaco
FOSSATI;SANTA MARGHERITA DI STAFFORA;Assessore
RICCARDI;SANTA MARIA DELLA VERSA;Sindaco
MAINI;SANTA MARIA DELLA VERSA;Vicesindaco
DESIMONI;SANTA MARIA DELLA VERSA;Assessore
GROSSI;SANT'ANGELO LOMELLINA;Sindaco
MONSINI;SANT'ANGELO LOMELLINA;Assessore
QUAGLIA;SANT'ANGELO LOMELLINA;Assessore
GRANATA;SAN ZENONE AL PO;Sindaco
ZANENGA;SAN ZENONE AL PO;Vicesindaco
TACCONI;SAN ZENONE AL PO;Assessore
GHISELLI;SARTIRANA LOMELLINA;Sindaco
COMINETTI;SARTIRANA LOMELLINA;Vicesindaco
CAPO;SARTIRANA LOMELLINA;Assessore
BONANDIN;SCALDASOLE;Sindaco
STRADA;SCALDASOLE;Vicesindaco
MARANGONI;SCALDASOLE;Assessore
CARNEVALE;SEMIANA;Sindaco
CELEGATO;SEMIANA;Vicesindaco
CIGALINO;SEMIANA;Assessore
MUTTI;SILVANO PIETRA;Sindaco
BENSI;SILVANO PIETRA;Assessore
POGGI;SILVANO PIETRA;Assessore
PUMO;SIZIANO;Sindaco
FIORI;SIZIANO;Vicesindaco
BARBIERI;SIZIANO;Assessore
DI;SIZIANO;Assessore
INVERARDI;SIZIANO;Assessore
FERRARI;SOMMO;Sindaco
GALLOTTI;SOMMO;Assessore
SACCHI;SOMMO;Assessore
BORGOGNONI;SPESSA;Sindaco
SPIAGGI;SPESSA;Vicesindaco
SCALIA;SPESSA;Assessore
CANTU';STRADELLA;Sindaco
DI;STRADELLA;Vicesindaco
FRUSTAGLI;STRADELLA;Assessore
VERCESI;STRADELLA;Assessore
BIANCARDI;SUARDI;Sindaco
NODI;SUARDI;Assessore
TROTTI;SUARDI;Assessore
PRUZZI;TORRAZZA COSTE;Sindaco
BROVEGLIO;TORRE BERETTI E CASTELLARO;Sindaco
MALVICINI;TORRE BERETTI E CASTELLARO;Vicesindaco
MARANGON;TORRE BERETTI E CASTELLARO;Assessore
MOLINA;TORRE D'ARESE;Sindaco
VAILATI;TORRE D'ARESE;Vicesindaco
TARENTINI;TORRE D'ARESE;Assessore
RIBONI;TORRE DE' NEGRI;Sindaco
BELTRAME;TORRE DE' NEGRI;Vicesindaco
MARAZZI;TORRE DE' NEGRI;Assessore
VERONESI;TORRE D'ISOLA;Sindaco
DETTORI;TORRE D'ISOLA;Vicesindaco
FORMENTON;TORRE D'ISOLA;Assessore
MANFREDI;TORREVECCHIA PIA;Sindaco
GILARDI;TORREVECCHIA PIA;Assessore
PALESTRA;TORREVECCHIA PIA;Assessore
SENSALE;TORRICELLA VERZATE;Sindaco
SALVANESCHI;TORRICELLA VERZATE;Assessore
VILLANI;TORRICELLA VERZATE;Assessore
CLENSI;TRAVACO' SICCOMARIO;Sindaco
LUCENTINI;TRAVACO' SICCOMARIO;Vicesindaco
BOERCI;TRAVACO' SICCOMARIO;Assessore
IODICE;TRAVACO' SICCOMARIO;Assessore
MILESI;TRAVACO' SICCOMARIO;Assessore
VILLANI;TRIVOLZIO;Sindaco
BREMI;TRIVOLZIO;Assessore
NEGRI;TRIVOLZIO;Assessore
NEGRI;TROMELLO;Sindaco
CARUANA;TROMELLO;Vicesindaco
PASINI;TROMELLO;Assessore
PISANO;TROMELLO;Assessore
SACCHI;TROVO;Sindaco
LAURENTI;TROVO;Assessore
MORCIANO;TROVO;Assessore
CAMPETTI;VAL DI NIZZA;Sindaco
LAZZARETTI;VAL DI NIZZA;Vicesindaco
GATTONE;VAL DI NIZZA;Assessore
TASSO;VALEGGIO;Sindaco
CREPALDI;VALEGGIO;Vicesindaco
BERTASSI;VALLE LOMELLINA;Sindaco
BARBIERI;VALLE LOMELLINA;Assessore
CUCCULELLI;VALLE LOMELLINA;Assessore
GATTI;VALLE SALIMBENE;Sindaco
BERGAMASCHI;VALLE SALIMBENE;Vicesindaco
CANATO;VALLE SALIMBENE;Assessore
PALLI;VARZI;Sindaco
ANTONIAZZI;VARZI;Vicesindaco
INDOLENTI;VARZI;Assessore
LAZZATI;VARZI;Assessore
PASQUALETTO;VELEZZO LOMELLINA;Sindaco
MAZZETTO;VELEZZO LOMELLINA;Vicesindaco
MARINI;VELEZZO LOMELLINA;Assessore
BORIOTTI;VELLEZZO BELLINI;Sindaco
BORTIGNON;VELLEZZO BELLINI;Vicesindaco
FURLOTTI;VELLEZZO BELLINI;Assessore
OLDANI;VELLEZZO BELLINI;Assessore
POLIN;VERRETTO;Sindaco
ROVATI;VERRETTO;Vicesindaco
REALI;VERRETTO;Assessore
LAZZARI;VERRUA PO;Sindaco
BELLIERO;VERRUA PO;Assessore
MONTIS;VERRUA PO;Assessore
BERTUZZI;VIDIGULFO;Sindaco
ZACCHETTI;VIDIGULFO;Vicesindaco
ALBANESE;VIDIGULFO;Assessore
PINA;VIDIGULFO;Assessore
PORROVECCHIO;VIDIGULFO;Assessore
CEFFA;VIGEVANO;Sindaco
SEGU';VIGEVANO;Vicesindaco
ALESSANDRINO;VIGEVANO;Assessore
AVALLE;VIGEVANO;Assessore
FANTONI;VIGEVANO;Assessore
SALA;VIGEVANO;Assessore
SCARDILLO;VIGEVANO;Assessore
SEMPLICI;VIGEVANO;Assessore
VIGANO';VILLA BISCOSSI;Sindaco
FASSARDI;VILLA BISCOSSI;Vicesindaco
RUSSO;VILLA BISCOSSI;Assessore
MUSSI;VILLANOVA D'ARDENGHI;Sindaco
FERRARI;VILLANOVA D'ARDENGHI;Vicesindaco
AZZALIN;VILLANOVA D'ARDENGHI;Assessore
CORBELLINI;VILLANTERIO;Sindaco
CLERICI;VILLANTERIO;Vicesindaco
FRANCIAMORE;VILLANTERIO;Assessore
SCHIAVINI;VILLANTERIO;Assessore
VALENTINI;VILLANTERIO;Assessore
BOSCHETTI;VISTARINO;Sindaco
BORROMEO;VISTARINO;Assessore
FERRI;VISTARINO;Assessore
GARLASCHELLI;VOGHERA;Sindaco
VIRGILIO;VOGHERA;Vicesindaco
FUGINI;VOGHERA;Assessore
GABBA;VOGHERA;Assessore
MALVICINI;VOGHERA;Assessore
TAVERNA;VOGHERA;Assessore
TORRIANI;VOGHERA;Assessore
TURA;VOGHERA;Assessore
MANGIAROTTI;VOLPARA;Sindaco
BOSSI;VOLPARA;Assessore
RICCI;VOLPARA;Assessore
TIGLIO;ZAVATTARELLO;Sindaco
COLOMBINI;ZAVATTARELLO;Vicesindaco
MIRANI;ZAVATTARELLO;Assessore
PALESTRA;ZECCONE;Sindaco
GROSSI;ZECCONE;Vicesindaco
CANDRINA;ZECCONE;Assessore
SARONNI;ZEME;Sindaco
FERRANDI;ZEME;Assessore
PAGANI;ZEME;Assessore
PIZZI;ZENEVREDO;Sindaco
GRAMEGNA;ZENEVREDO;Assessore
VERCESI;ZENEVREDO;Assessore
STAGNITTO;ZERBO;Assessore
CENTENARA;ZERBOLO';Sindaco
PERTICATI;ZERBOLO';Vicesindaco
PELLEGRI;ZERBOLO';Assessore
NASCIMBENE;ZINASCO;Sindaco
CLERICI;ZINASCO;Vicesindaco
ALBERTI;ZINASCO;Assessore
ROCCA;ZINASCO;Assessore
SALEMME;ZINASCO;Assessore
DEL;ALBAREDO PER SAN MARCO;Sindaco
FURLINI;ALBAREDO PER SAN MARCO;Assessore
MAZZONI;ALBAREDO PER SAN MARCO;Assessore
MURADA;ALBOSAGGIA;Sindaco
CARNAZZOLA;ALBOSAGGIA;Assessore
PAGANONI;ALBOSAGGIA;Assessore
RUTTICO;ALBOSAGGIA;Assessore
VASCO;ALBOSAGGIA;Assessore
GIROLO;ANDALO VALTELLINO;Sindaco
BARRI;ANDALO VALTELLINO;Assessore
DE;ANDALO VALTELLINO;Assessore
CORVI;APRICA;Sindaco
BALSARINI;APRICA;Vicesindaco
DAMIANI;APRICA;Assessore
BONAT;ARDENNO;Sindaco
BERTINELLI;ARDENNO;Vicesindaco
BALETTI;ARDENNO;Assessore
MOSSINI;ARDENNO;Assessore
POMOLI;ARDENNO;Assessore
SUTTI;BEMA;Sindaco
LANZA;BEMA;Assessore
PASSAMONTI;BEMA;Assessore
FUMASONI;BERBENNO DI VALTELLINA;Sindaco
ACHILLI;BERBENNO DI VALTELLINA;Assessore
LIBERA;BERBENNO DI VALTELLINA;Assessore
MERAVIGLIA;BERBENNO DI VALTELLINA;Assessore
TAVELLI;BERBENNO DI VALTELLINA;Assessore
DELLE;BIANZONE;Sindaco
DELLA;BIANZONE;Assessore
POLINELLI;BIANZONE;Assessore
CAVAZZI;BORMIO;Sindaco
COLA;BORMIO;Vicesindaco
ANTONIOLI;BORMIO;Assessore
PEDRANZINI;BORMIO;Assessore
ROMERIO;BORMIO;Assessore
STERLOCCHI;BUGLIO IN MONTE;Sindaco
AZZALINI;BUGLIO IN MONTE;Assessore
BONGINI;BUGLIO IN MONTE;Assessore
FARINA;CAIOLO;Sindaco
BIANCHINI;CAIOLO;Assessore
SPEZIALI;CAIOLO;Assessore
GUANELLA;CAMPODOLCINO;Sindaco
DELLA;CAMPODOLCINO;Vicesindaco
FANETTI;CAMPODOLCINO;Assessore
BRUSEGHINI;CASPOGGIO;Sindaco
BAGIOLO;CASPOGGIO;Assessore
NEGRINI;CASPOGGIO;Assessore
PELLERANO;CASTELLO DELL'ACQUA;Sindaco
DELLA;CASTELLO DELL'ACQUA;Assessore
GREGORINI;CASTELLO DELL'ACQUA;Assessore
FRANCHETTI;CASTIONE ANDEVENNO;Sindaco
GIANA;CASTIONE ANDEVENNO;Vicesindaco
MONTANI;CASTIONE ANDEVENNO;Assessore
OBERTI;CEDRASCO;Sindaco
BARRI;CEDRASCO;Assessore
BATTAGLIA;CEDRASCO;Assessore
DE;CERCINO;Sindaco
BARONA;CERCINO;Vicesindaco
MATTA;CERCINO;Assessore
DELLA;CHIAVENNA;Sindaco
DEL;CHIAVENNA;Assessore
GIACOMINI;CHIAVENNA;Assessore
TAM;CHIAVENNA;Assessore
TRUSSONI;CHIAVENNA;Assessore
PETRELLA;CHIESA IN VALMALENCO;Sindaco
LONGHINI;CHIESA IN VALMALENCO;Vicesindaco
PAROLINI;CHIESA IN VALMALENCO;Assessore
MAFFEZZINI;CHIURO;Sindaco
CHIESA;CHIURO;Assessore
SIMONINI;CHIURO;Assessore
LIPARI;CINO;Sindaco
DE;CINO;Assessore
VALENA;CINO;Assessore
MARCHETTI;CIVO;Sindaco
SOLDATI;CIVO;Vicesindaco
MORASCHINELLI;CIVO;Assessore
CODEGA;COLORINA;Sindaco
PIZZINI;COLORINA;Vicesindaco
PIZZINI;COLORINA;Assessore
VANINETTI;COSIO VALTELLINO;Sindaco
DE;COSIO VALTELLINO;Vicesindaco
DALLE;COSIO VALTELLINO;Assessore
TONELLI;COSIO VALTELLINO;Assessore
VANINETTI;COSIO VALTELLINO;Assessore
CAZZANIGA;DAZIO;Sindaco
BERTOLOTTI;DAZIO;Vicesindaco
PEDEMONTI;DAZIO;Assessore
ALBERTI;DELEBIO;Sindaco
COLLI;DELEBIO;Assessore
CORGATELLI;DELEBIO;Assessore
FISTOLERA;DELEBIO;Assessore
ZAPPIA;DELEBIO;Assessore
NONINI;DUBINO;Sindaco
BARRI;DUBINO;Vicesindaco
AMBROSINI;DUBINO;Assessore
GIAMBELLI;DUBINO;Assessore
NOGARA;DUBINO;Assessore
ANGELINI;FAEDO VALTELLINO;Sindaco
PARUSCIO;FAEDO VALTELLINO;Assessore
SCENINI;FAEDO VALTELLINO;Assessore
BERTOLINI;FORCOLA;Sindaco
RASCHETTI;FORCOLA;Assessore
TASCHETTI;FUSINE;Sindaco
VANINI;FUSINE;Assessore
VENTURINI;FUSINE;Assessore
ACQUISTAPACE;GEROLA ALTA;Sindaco
ACQUISTAPACE;GEROLA ALTA;Assessore
MAXENTI;GEROLA ALTA;Assessore
GUGLIELMANA;GORDONA;Sindaco
AURITI;GORDONA;Assessore
SCARTACCINI;GORDONA;Assessore
PINI;GROSIO;Sindaco
CAPETTI;GROSIO;Assessore
CASPANI;GROSIO;Assessore
PINI;GROSIO;Assessore
RINALDI;GROSIO;Assessore
SALIGARI;GROSOTTO;Sindaco
TRINCA;GROSOTTO;Vicesindaco
NANA;LANZADA;Sindaco
BARDEA;LANZADA;Assessore
NANI;LANZADA;Assessore
GALLI;LIVIGNO;Sindaco
CANTONI;LIVIGNO;Vicesindaco
PEDRANA;LIVIGNO;Assessore
RUPANI;LIVIGNO;Assessore
ZINI;LIVIGNO;Assessore
SALIGARI;LOVERO;Sindaco
CLEMENTI;LOVERO;Assessore
PURATTI;LOVERO;Assessore
PILATTI;MADESIMO;Sindaco
GAZZOLI;MADESIMO;Assessore
RAVISCIONI;MADESIMO;Assessore
BONETTI;MANTELLO;Sindaco
ORIO;MANTELLO;Assessore
SPEZIALE;MANTELLO;Assessore
SALIGARI;MAZZO DI VALTELLINA;Sindaco
DE;MAZZO DI VALTELLINA;Assessore
FOPPOLI;MAZZO DI VALTELLINA;Assessore
SCAMONI;MELLO;Sindaco
BONETTI;MELLO;Vicesindaco
GOBBI;MELLO;Assessore
CIPRIANI;MESE;Sindaco
LEVI;MESE;Assessore
TORTORELLA;MESE;Assessore
BALDINI;MONTAGNA IN VALTELLINA;Sindaco
CRAPELLA;MONTAGNA IN VALTELLINA;Assessore
GUGIATTI;MONTAGNA IN VALTELLINA;Assessore
MUFFATTI;MONTAGNA IN VALTELLINA;Assessore
TESTINI;MONTAGNA IN VALTELLINA;Assessore
GAVAZZI;MORBEGNO;Sindaco
BERTARELLI;MORBEGNO;Assessore
MARCHINI;MORBEGNO;Assessore
ZECCA;MORBEGNO;Assessore
NONINI;NOVATE MEZZOLA;Sindaco
CALIGARI;NOVATE MEZZOLA;Assessore
PISNOLI;NOVATE MEZZOLA;Assessore
RUFFONI;PEDESINA;Sindaco
BERTA;PEDESINA;Assessore
MARGOLFO;PEDESINA;Assessore
PINOLI;PIANTEDO;Sindaco
BARILANI;PIANTEDO;Vicesindaco
BARINI;PIANTEDO;Assessore
MARCHESINI;PIATEDA;Sindaco
VANOTTI;PIATEDA;Vicesindaco
SIMONINI;PIATEDA;Assessore
IACOMELLA;PIURO;Sindaco
MARTINUCCI;PIURO;Assessore
PEDRONI;PIURO;Assessore
PIASINI;POGGIRIDENTI;Sindaco
PAROLO;POGGIRIDENTI;Vicesindaco
MOTTOLINI;POGGIRIDENTI;Assessore
VAIRETTI;PONTE IN VALTELLINA;Sindaco
BAMBINI;PONTE IN VALTELLINA;Assessore
CASALI;PONTE IN VALTELLINA;Assessore
BONINI;POSTALESIO;Sindaco
DEL;POSTALESIO;Vicesindaco
FULLIN;POSTALESIO;Assessore
TARABINI;PRATA CAMPORTACCIO;Sindaco
LUCCHINETTI;PRATA CAMPORTACCIO;Vicesindaco
SCARAMELLA;PRATA CAMPORTACCIO;Assessore
RAVA;RASURA;Sindaco
PEZZINI;RASURA;Assessore
PIGANZOLI;RASURA;Assessore
FERRE';ROGOLO;Sindaco
DUGONI;ROGOLO;Assessore
PADELLI;ROGOLO;Assessore
ROSSI;SAMOLACO;Sindaco
SOTTOCORNOLA;SAMOLACO;Vicesindaco
FOIS;SAMOLACO;Assessore
DE;SAN GIACOMO FILIPPO;Sindaco
BUZZETTI;SAN GIACOMO FILIPPO;Assessore
GERONIMI;SAN GIACOMO FILIPPO;Assessore
BONGIOLATTI;SERNIO;Sindaco
RINALDI;SERNIO;Vicesindaco
TATTI;SERNIO;Assessore
PERALDINI;SONDALO;Sindaco
ARIGHI;SONDALO;Assessore
COSSI;SONDALO;Assessore
DELLA;SONDALO;Assessore
MENINI;SONDALO;Assessore
SCARAMELLINI;SONDRIO;Sindaco
GRILLO;SONDRIO;Vicesindaco
CANOVI;SONDRIO;Assessore
DELL'ERBA;SONDRIO;Assessore
DIASIO;SONDRIO;Assessore
FRATTA;SONDRIO;Assessore
MASSERA;SONDRIO;Assessore
MAZZA;SONDRIO;Assessore
MUNARINI;SONDRIO;Assessore
ROSSATTI;SONDRIO;Assessore
DEL;SPRIANA;Sindaco
SCILIRONI;SPRIANA;Assessore
VARISTO;SPRIANA;Assessore
MENEGOLA;TALAMONA;Sindaco
CIAN;TALAMONA;Assessore
LUZZI;TALAMONA;Assessore
PERLINI;TALAMONA;Assessore
BIANCHINI;TARTANO;Sindaco
PASINA;TARTANO;Vicesindaco
MORETTI;TEGLIO;Sindaco
BRANCHI;TEGLIO;Assessore
OPIATTI;TEGLIO;Assessore
PEDROLI;TEGLIO;Assessore
SAINI;TEGLIO;Assessore
SPADA;TIRANO;Sindaco
BOMBARDIERI;TIRANO;Vicesindaco
DEL;TIRANO;Assessore
NATTA;TIRANO;Assessore
PORTOVENERO;TIRANO;Assessore
GIANOTTI;TORRE DI SANTA MARIA;Sindaco
CRISTINI;TORRE DI SANTA MARIA;Assessore
GIANOTTI;TORRE DI SANTA MARIA;Assessore
PRUNERI;TOVO DI SANT'AGATA;Sindaco
ARMANASCO;TOVO DI SANT'AGATA;Assessore
GIFFALINI;TOVO DI SANT'AGATA;Assessore
PAPINI;TRAONA;Sindaco
CARNIELETTO;TRAONA;Vicesindaco
FIORINI;TRAONA;Assessore
MAGRIN;TRAONA;Assessore
BARUFFI;TRESIVIO;Sindaco
DELLA;TRESIVIO;Assessore
NINATTI;TRESIVIO;Assessore
TRABUCCHI;VALDIDENTRO;Sindaco
GURINI;VALDIDENTRO;Vicesindaco
DESSI;VALDIDENTRO;Assessore
MARTINELLI;VALDIDENTRO;Assessore
SOSIO;VALDIDENTRO;Assessore
PEDRINI;VALDISOTTO;Sindaco
ZAMPATTI;VALDISOTTO;Vicesindaco
CANCLINI;VALDISOTTO;Assessore
COLTURI;VALDISOTTO;Assessore
BELLOTTI;VALFURVA;Sindaco
TENCI;VALFURVA;Vicesindaco
TAEGGI;VAL MASINO;Sindaco
FIORELLI;VAL MASINO;Vicesindaco
IOBIZZI;VAL MASINO;Assessore
OREGIONI;VERCEIA;Sindaco
FASCENDINI;VERCEIA;Assessore
OREGIONI;VERCEIA;Assessore
QUADRIO;VERVIO;Sindaco
CASPANI;VERVIO;Assessore
CIAMPINI;VERVIO;Assessore
PEDRINI;VILLA DI CHIAVENNA;Sindaco
CICOLARI;VILLA DI CHIAVENNA;Assessore
MARANTELLI;VILLA DI TIRANO;Sindaco
MELERI;VILLA DI TIRANO;Assessore
MORELLI;VILLA DI TIRANO;Assessore
BAGLIONI;AGRA;Sindaco
COLOMBO;AGRA;Vicesindaco
GRIGGIO;AGRA;Assessore
ZORZO;ALBIZZATE;Sindaco
BRUSA;ALBIZZATE;Vicesindaco
MAGGIO;ALBIZZATE;Assessore
RIZZI;ALBIZZATE;Assessore
TROMBINO;ALBIZZATE;Assessore
CAVALLUZZI;ARCISATE;Sindaco
GARIBOLDI;ARCISATE;Vicesindaco
BREDA;ARCISATE;Assessore
MIOTTI;ARCISATE;Assessore
VINONI;ARCISATE;Assessore
MONTAGNOLI;ARSAGO SEPRIO;Sindaco
FOSSEN;ARSAGO SEPRIO;Vicesindaco
LUCCHINI;ARSAGO SEPRIO;Assessore
MANTOVAN;ARSAGO SEPRIO;Assessore
VANOSSI;ARSAGO SEPRIO;Assessore
BERNASCONI;AZZATE;Sindaco
BARBARITO;AZZATE;Vicesindaco
ROCCA;AZZATE;Assessore
SESSA;AZZATE;Assessore
VIGNOLA;AZZATE;Assessore
VINCENTI;AZZIO;Sindaco
RUSPINI;AZZIO;Vicesindaco
DI;AZZIO;Assessore
DI;BARASSO;Sindaco
BONELLI;BARASSO;Assessore
OSSOLA;BARASSO;Assessore
GALLI;BEDERO VALCUVIA;Sindaco
DE;BEDERO VALCUVIA;Assessore
SPORTELLI;BEDERO VALCUVIA;Assessore
MULAS;BESANO;Sindaco
CORBO;BESNATE;Sindaco
BLUMETTI;BESNATE;Vicesindaco
DE;BESNATE;Assessore
ZARINI;BESNATE;Assessore
COGHETTO;BESOZZO;Sindaco
SARTORIO;BESOZZO;Vicesindaco
BONATI;BESOZZO;Assessore
DEL;BESOZZO;Assessore
PIANESE;BESOZZO;Assessore
POROTTI;BIANDRONNO;Sindaco
MAESTRONI;BIANDRONNO;Vicesindaco
BROGGINI;BIANDRONNO;Assessore
GIORGETTI;BIANDRONNO;Assessore
RESTEGHINI;BISUSCHIO;Sindaco
CONTI;BISUSCHIO;Vicesindaco
FUMAGALLI;BISUSCHIO;Assessore
RINALDI;BISUSCHIO;Assessore
VINCENZI;BISUSCHIO;Assessore
PAOLELLI;BODIO LOMNAGO;Sindaco
CAPUZZI;BODIO LOMNAGO;Vicesindaco
MERLETTO;BODIO LOMNAGO;Assessore
MAGNI;BREBBIA;Sindaco
MARINO;BREBBIA;Vicesindaco
MANCINELLI;BREBBIA;Assessore
RONCARI;BREBBIA;Assessore
BALLARDIN;BRENTA;Sindaco
NOVI;BRENTA;Vicesindaco
BOTTONI;BRENTA;Assessore
BOLDRINI;BREZZO DI BEDERO;Sindaco
BOSCARO;BREZZO DI BEDERO;Assessore
MICHEA;BREZZO DI BEDERO;Assessore
PICCINELLI;BRINZIO;Sindaco
BRANCA;BRINZIO;Vicesindaco
MAINOLI;BRINZIO;Assessore
BADIALI;BRISSAGO-VALTRAVAGLIA;Sindaco
GIORDANO;BRISSAGO-VALTRAVAGLIA;Vicesindaco
MENNA;BRISSAGO-VALTRAVAGLIA;Assessore
DALL'OSTO;BRUNELLO;Sindaco
COLLI;BRUNELLO;Vicesindaco
ZUCCONELLI;BRUSIMPIANO;Sindaco
BERGAMI;BRUSIMPIANO;Vicesindaco
MASINA;BRUSIMPIANO;Assessore
SAMBO;BUGUGGIATE;Sindaco
CARABELLI;BUGUGGIATE;Vicesindaco
BATTIGELLI;BUGUGGIATE;Assessore
ANTONELLI;BUSTO ARSIZIO;Sindaco
MAFFIOLI;BUSTO ARSIZIO;Vicesindaco
ARTUSA;BUSTO ARSIZIO;Assessore
CERANA;BUSTO ARSIZIO;Assessore
CISLAGHI;BUSTO ARSIZIO;Assessore
LOSCHIAVO;BUSTO ARSIZIO;Assessore
MARIANI;BUSTO ARSIZIO;Assessore
REGUZZONI;BUSTO ARSIZIO;Assessore
ALMIERI;CADEGLIANO-VICONAGO;Sindaco
BIANCHINI;CADEGLIANO-VICONAGO;Assessore
GIORGETTI;CADEGLIANO-VICONAGO;Assessore
ROBUSTELLINI;CADREZZATE CON OSMATE;Sindaco
MASTROPIETRO;CADREZZATE CON OSMATE;Vicesindaco
RUSPINI;CADREZZATE CON OSMATE;Assessore
PUGLIESE;CAIRATE;Sindaco
CROSTA;CAIRATE;Vicesindaco
BLINI;CAIRATE;Assessore
LUONI;CAIRATE;Assessore
PERI;CAIRATE;Assessore
CATELLA;CANTELLO;Sindaco
MALNATI;CANTELLO;Vicesindaco
CACCIA;CANTELLO;Assessore
MAZZAGATTI;CANTELLO;Assessore
TARDUGNO;CARAVATE;Sindaco
AZZIMONTI;CARAVATE;Assessore
ROSNATI;CARAVATE;Assessore
COLOMBO;CARDANO AL CAMPO;Sindaco
TOMASINI;CARDANO AL CAMPO;Vicesindaco
MARANA;CARDANO AL CAMPO;Assessore
SURIANO;CARDANO AL CAMPO;Assessore
CARABELLI;CARNAGO;Sindaco
CARABELLI;CARNAGO;Vicesindaco
FOLETTO;CARNAGO;Assessore
MAZZOLENI;CARNAGO;Assessore
VEZZANI;CARNAGO;Assessore
GIUDICI;CARONNO PERTUSELLA;Sindaco
BANFI;CARONNO PERTUSELLA;Vicesindaco
CARUSO;CARONNO PERTUSELLA;Assessore
GULLIA;CARONNO PERTUSELLA;Assessore
ROSARA;CARONNO PERTUSELLA;Assessore
TURCONI;CARONNO PERTUSELLA;Assessore
GALLI;CARONNO VARESINO;Sindaco
MANTOVAN;CARONNO VARESINO;Vicesindaco
BASSO;CARONNO VARESINO;Assessore
DE;CARONNO VARESINO;Assessore
LEVORIN;CARONNO VARESINO;Assessore
MAFFIOLI;CASALE LITTA;Sindaco
MAGRO;CASALE LITTA;Vicesindaco
VIOLA;CASALE LITTA;Assessore
DE;CASALZUIGNO;Sindaco
MARINO;CASALZUIGNO;Vicesindaco
PIANEZZA;CASALZUIGNO;Assessore
RETO;CASCIAGO;Sindaco
GAGGIONI;CASCIAGO;Vicesindaco
BARONI;CASCIAGO;Assessore
CANTOREGGI;CASCIAGO;Assessore
PRAVETTONI;CASCIAGO;Assessore
CASSANI;CASORATE SEMPIONE;Sindaco
DEMOLLI;CASORATE SEMPIONE;Vicesindaco
BATTAGLIA;CASORATE SEMPIONE;Assessore
VALSECCHI;CASORATE SEMPIONE;Assessore
OTTAVIANI;CASSANO MAGNAGO;Sindaco
SAVOGIN;CASSANO MAGNAGO;Vicesindaco
DABRAIO;CASSANO MAGNAGO;Assessore
LODRINI;CASSANO MAGNAGO;Assessore
PASSUELLO;CASSANO MAGNAGO;Assessore
ZAUPA;CASSANO MAGNAGO;Assessore
BAREA;CASSANO VALCUVIA;Sindaco
POZZI;CASSANO VALCUVIA;Vicesindaco
LEONI;CASSANO VALCUVIA;Assessore
CERINI;CASTELLANZA;Sindaco
BORRONI;CASTELLANZA;Vicesindaco
GIANI;CASTELLANZA;Assessore
TARLAZZI;CASTELLANZA;Assessore
GALBIATI;CASTELLO CABIAGLIO;Sindaco
CANTAGALLI;CASTELLO CABIAGLIO;Vicesindaco
MARSILIO;CASTELLO CABIAGLIO;Assessore
MARTELOZZO;CASTELSEPRIO;Sindaco
CARBONE;CASTELSEPRIO;Assessore
GAVIOLI;CASTELSEPRIO;Assessore
PEZZA;CASTELVECCANA;Sindaco
PLOOY;CASTELVECCANA;Vicesindaco
GAMBATO;CASTELVECCANA;Assessore
FRIGERI;CASTIGLIONE OLONA;Sindaco
GUERRA;CASTIGLIONE OLONA;Vicesindaco
CANZIANI;CASTIGLIONE OLONA;Assessore
VALLE;CASTIGLIONE OLONA;Assessore
GABRI;CASTRONNO;Sindaco
TURETTA;CASTRONNO;Vicesindaco
BIZZOTTO;CASTRONNO;Assessore
FERRARI;CASTRONNO;Assessore
NICORA;CASTRONNO;Assessore
ZENI;CAVARIA CON PREMEZZO;Sindaco
CICONTE;CAVARIA CON PREMEZZO;Vicesindaco
BONUTTO;CAVARIA CON PREMEZZO;Assessore
MARTINO;CAVARIA CON PREMEZZO;Assessore
SCALTRITTI;CAVARIA CON PREMEZZO;Assessore
MAGNI;CAZZAGO BRABBIA;Sindaco
LAUDI;CAZZAGO BRABBIA;Vicesindaco
MONTAGNA;CAZZAGO BRABBIA;Assessore
CALEGARI;CISLAGO;Sindaco
CODIGNONI;CISLAGO;Vicesindaco
BROLI;CISLAGO;Assessore
MAZZUCCHELLI;CISLAGO;Assessore
UBOLDI;CISLAGO;Assessore
MAGNANI;CITTIGLIO;Sindaco
